id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
2005.07113,Myna Vajha,"Vinayak Ramkumar, Myna Vajha, M. Nikhil Krishnan, P. Vijay Kumar",Staggered Diagonal Embedding Based Linear Field Size Streaming Codes,Accepted to ISIT 2020,,,,cs.IT math.IT,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  An $(a,b,\tau)$ streaming code is a packet-level erasure code that can
recover under a strict delay constraint of $\tau$ time units, from either a
burst of $b$ erasures or else of $a$ random erasures, occurring within a
sliding window of time duration $w$. While rate-optimal constructions of such
streaming codes are available for all parameters $\{a,b,\tau,w\}$ in the
literature, they require in most instances, a quadratic, $O(\tau^2)$ field
size. In this work, we make further progress towards field size reduction and
present rate-optimal $O(\tau)$ field size streaming codes for two regimes: (i)
$gcd(b,\tau+1-a)\ge a$ (ii) $\tau+1 \ge a+b$ and $b \mod \ a \in \{0,a-1\}$.
","[{'version': 'v1', 'created': 'Thu, 14 May 2020 16:28:24 GMT'}]",2020-05-15,"[['Ramkumar', 'Vinayak', ''], ['Vajha', 'Myna', ''], ['Krishnan', 'M. Nikhil', ''], ['Kumar', 'P. Vijay', '']]"
1710.01576,Hendrik Molter,"Clemens Hoffmann, Hendrik Molter, Manuel Sorge",The Parameterized Complexity of Centrality Improvement in Networks,,,,,cs.DM cs.CC,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  The centrality of a vertex v in a network intuitively captures how important
v is for communication in the network. The task of improving the centrality of
a vertex has many applications, as a higher centrality often implies a larger
impact on the network or less transportation or administration cost. In this
work we study the parameterized complexity of the NP-complete problems
Closeness Improvement and Betweenness Improvement in which we ask to improve a
given vertex' closeness or betweenness centrality by a given amount through
adding a given number of edges to the network. Herein, the closeness of a
vertex v sums the multiplicative inverses of distances of other vertices to v
and the betweenness sums for each pair of vertices the fraction of shortest
paths going through v. Unfortunately, for the natural parameter ""number of
edges to add"" we obtain hardness results, even in rather restricted cases. On
the positive side, we also give an island of tractability for the parameter
measuring the vertex deletion distance to cluster graphs.
","[{'version': 'v1', 'created': 'Wed, 4 Oct 2017 12:46:27 GMT'}]",2017-10-05,"[['Hoffmann', 'Clemens', ''], ['Molter', 'Hendrik', ''], ['Sorge', 'Manuel', '']]"
1312.7152,Miguel Freitas,Miguel Freitas,twister - a P2P microblogging platform,,,,,cs.NI cs.CR,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  This paper proposes a new microblogging architecture based on peer-to-peer
networks overlays. The proposed platform is comprised of three mostly
independent overlay networks. The first provides distributed user registration
and authentication and is based on the Bitcoin protocol. The second one is a
Distributed Hash Table (DHT) overlay network providing key/value storage for
user resources and tracker location for the third network. The last network is
a collection of possibly disjoint ""swarms"" of followers, based on the
Bittorrent protocol, which can be used for efficient near-instant notification
delivery to many users. By leveraging from existing and proven technologies,
twister provides a new microblogging platform offering security, scalability
and privacy features. A mechanism provides incentive for entities that
contribute processing time to run the user registration network, rewarding such
entities with the privilege of sending a single unsolicited (""promoted"")
message to the entire network. The number of unsolicited messages per day is
defined in order to not upset users.
","[{'version': 'v1', 'created': 'Thu, 26 Dec 2013 22:02:00 GMT'}]",2013-12-30,"[['Freitas', 'Miguel', '']]"
cond-mat/0011442,Bosiljka Tadic,Bosiljka Tadic,Dynamics of directed graphs: the world-wide Web,"Revtex, 4 PostScript figures, small changes in the text","Physica A: Statistical Mechanics and its Applications 293, p.273
  (2001)",10.1016/S0378-4371(01)00014-0,,cond-mat.stat-mech,,"  We introduce and simulate a growth model of the world-wide Web based on the
dynamics of outgoing links that is motivated by the conduct of the agents in
the real Web to update outgoing links (re)directing them towards constantly
changing selected nodes. Emergent statistical correlation between the
distributions of outgoing and incoming links is a key feature of the dynamics
of the Web. The growth phase is characterized by temporal fractal structures
which are manifested in the hierarchical organization of links. We obtain
quantitative agreement with the recent empirical data in the real Web for the
distributions of in- and out-links and for the size of connected component. In
a fully grown network of $N$ nodes we study the structure of connected clusters
of nodes that are accessible along outgoing links from a randomly selected
node. The distributions of size and depth of the connected clusters with a
giant component exhibit supercritical behavior. By decreasing the control
parameter---average fraction $\beta $ of updated and added links per time
step---towards $\beta_c(N) < 10% $ the Web can resume a critical structure with
no giant component in it. We find a different universality class when the
updates of links are not allowed, i.e., for $\beta \equiv 0$, corresponding to
the network of science citations.
","[{'version': 'v1', 'created': 'Mon, 27 Nov 2000 09:34:04 GMT'}, {'version': 'v2', 'created': 'Wed, 17 Jan 2001 08:59:09 GMT'}]",2009-10-31,"[['Tadic', 'Bosiljka', '']]"
hep-lat/9711003,Tim Klassen,"R. G. Edwards, U. M. Heller and T. R. Klassen",Accurate Scale Determinations for the Wilson Gauge Action,"18 pages, LaTeX, 5 ps files (corrected typo in table 5, updated
  references)",Nucl.Phys. B517 (1998) 377-392,10.1016/S0550-3213(98)80003-5,FSU-SCRI-97-122,hep-lat,,"  Accurate determinations of the physical scale of a lattice action are
required to check scaling and take the continuum limit. We present a high
statistics study of the static potential for the SU(3) Wilson gauge action on
coarse lattices ($5.54 \leq \beta \leq 6.0$). Using an improved analysis
procedure we determine the string tension and the Sommer scale $r_0$ (and
related quantities) to 1% accuracy, including all systematic errors. Combining
our results with earlier ones on finer lattices, we present parameterizations
of these quantities that should be accurate to about 1% for $5.6 \leq \beta
\leq 6.5$. We estimate the $\La$-parameter of quenched QCD to be $\La_\MSb =
247(16)$ MeV.
","[{'version': 'v1', 'created': 'Wed, 5 Nov 1997 22:14:04 GMT'}, {'version': 'v2', 'created': 'Sun, 15 Feb 1998 23:15:40 GMT'}]",2009-10-30,"[['Edwards', 'R. G.', ''], ['Heller', 'U. M.', ''], ['Klassen', 'T. R.', '']]"
0708.0170,Volker Perlick,Volker Perlick,On the radar method in general-relativistic spacetimes,"Written version of talk given at 359th WE Heraeus Seminar ``Lasers,
  Clocks, and Drag-Free. New Technologies for Testing Relativistic Gravity in
  Space.'' Bremen, 2005; to appear in H. Dittus, C. L{\""a}mmerzahl, S. G.
  Turyshev (eds.): ``Lasers, Clocks, and Drag-Free Control. Exploration of
  Relativistic Gravity in Space.'' Springer, 2007",,10.1007/978-3-540-34377-6_5,,gr-qc,,"  If a clock, mathematically modeled by a parametrized timelike curve in a
general-relativistic spacetime, is given, the radar method assigns a time and a
distance to every event which is sufficiently close to the clock. Several
geometric aspects of this method are reviewed and their physical interpretation
is discussed.
","[{'version': 'v1', 'created': 'Wed, 1 Aug 2007 14:54:52 GMT'}]",2015-05-13,"[['Perlick', 'Volker', '']]"
1308.4495,Leonardo Cabrer,L.M. Cabrer and H.A. Priestley,Distributive bilattices from the perspective of natural duality theory,,,,,math.RA,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  This paper provides a fresh perspective on the representation of distributive
bilattices and of related varieties. The techniques of naturalduality are
employed to give, economically and in a uniform way, categories ofstructures
dually equivalent to these varieties.We relate our dualities to the product
representations for bilattices and to pre-existing dual representations by a
simple translation process which is an instance of a more general mechanism for
connecting dualities based on Priestley duality to natural dualities. Our
approach gives us access to descriptions of algebraic/categorical properties of
bilattices and also reveals how `truth' and `knowledge' may be seen as dual
notions.
","[{'version': 'v1', 'created': 'Wed, 21 Aug 2013 07:09:25 GMT'}, {'version': 'v2', 'created': 'Wed, 15 Jan 2014 10:49:42 GMT'}]",2014-01-16,"[['Cabrer', 'L. M.', ''], ['Priestley', 'H. A.', '']]"
2009.10867,Baojian Zhou,"Baojian Zhou, Yiming Ying, Steven Skiena",Online AUC Optimization for Sparse High-Dimensional Datasets,20th IEEE International Conference on Data Mining,,,,cs.LG cs.AI stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  The Area Under the ROC Curve (AUC) is a widely used performance measure for
imbalanced classification arising from many application domains where
high-dimensional sparse data is abundant. In such cases, each $d$ dimensional
sample has only $k$ non-zero features with $k \ll d$, and data arrives
sequentially in a streaming form. Current online AUC optimization algorithms
have high per-iteration cost $\mathcal{O}(d)$ and usually produce non-sparse
solutions in general, and hence are not suitable for handling the data
challenge mentioned above.
  In this paper, we aim to directly optimize the AUC score for high-dimensional
sparse datasets under online learning setting and propose a new algorithm,
\textsc{FTRL-AUC}. Our proposed algorithm can process data in an online fashion
with a much cheaper per-iteration cost $\mathcal{O}(k)$, making it amenable for
high-dimensional sparse streaming data analysis. Our new algorithmic design
critically depends on a novel reformulation of the U-statistics AUC objective
function as the empirical saddle point reformulation, and the innovative
introduction of the ""lazy update"" rule so that the per-iteration complexity is
dramatically reduced from $\mathcal{O}(d)$ to $\mathcal{O}(k)$. Furthermore,
\textsc{FTRL-AUC} can inherently capture sparsity more effectively by applying
a generalized Follow-The-Regularized-Leader (FTRL) framework.
  Experiments on real-world datasets demonstrate that \textsc{FTRL-AUC}
significantly improves both run time and model sparsity while achieving
competitive AUC scores compared with the state-of-the-art methods. Comparison
with the online learning method for logistic loss demonstrates that
\textsc{FTRL-AUC} achieves higher AUC scores especially when datasets are
imbalanced.
","[{'version': 'v1', 'created': 'Wed, 23 Sep 2020 00:50:01 GMT'}]",2020-09-24,"[['Zhou', 'Baojian', ''], ['Ying', 'Yiming', ''], ['Skiena', 'Steven', '']]"
1810.06698,Idris Adjerid,"Idris Adjerid, Rachael Purta, Aaron Striegel, George Loewenstein","Aggressive Economic Incentives and Physical Activity: The Role of Choice
  and Technology Decision Aids",Paper is undergoing a major revision,,,,econ.GN q-fin.EC,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Aggressive incentive schemes that allow individuals to impose economic
punishment on themselves if they fail to meet health goals present a promising
approach for encouraging healthier behavior. However, the element of choice
inherent in these schemes introduces concerns that only non-representative
sectors of the population will select aggressive incentives, leaving value on
the table for those who don't opt in. In a field experiment conducted over a 29
week period on individuals wearing Fitbit activity trackers, we find modest and
short lived increases in physical activity for those provided the choice of
aggressive incentives. In contrast, we find significant and persistent
increases for those assigned (oftentimes against their stated preference) to
the same aggressive incentives. The modest benefits for those provided a choice
seems to emerge because those who benefited most from the aggressive incentives
were the least likely to choose them, and it was those who did not need them
who opted in. These results are confirmed in a follow up lab experiment. We
also find that benefits to individuals assigned to aggressive incentives were
pronounced if they also updated their step target in the Fitbit mobile
application to match the new activity goal we provided them. Our findings have
important implications for incentive based interventions to improve health
behavior. For firms and policy makers, our results suggest that one effective
strategy for encouraging sustained healthy behavior combines exposure to
aggressive incentive schemes to jolt individuals out of their comfort zones
with technology decision aids that help individuals sustain this behavior after
incentives end.
","[{'version': 'v1', 'created': 'Mon, 15 Oct 2018 21:13:33 GMT'}, {'version': 'v2', 'created': 'Wed, 7 Nov 2018 15:16:05 GMT'}]",2018-11-08,"[['Adjerid', 'Idris', ''], ['Purta', 'Rachael', ''], ['Striegel', 'Aaron', ''], ['Loewenstein', 'George', '']]"
1306.4610,Nikolaj Thomas Zinner,"A. G. Volosniev and D. V. Fedorov and A. S. Jensen and M. Valiente and
  N. T. Zinner",Strongly interacting confined quantum systems in one dimension,"11 pages, 2 figures, including methods, final version","Nature Communications 5, 5300 (2014)",10.1038/ncomms6300,,cond-mat.quant-gas cond-mat.str-el math-ph math.MP quant-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In one dimension, the study of magnetism dates back to the dawn of quantum
mechanics when Bethe solved the famous Heisenberg model that describes quantum
behaviour in magnetic systems. In the last decade, one-dimensional systems have
become a forefront area of research driven by the realization of the
Tonks-Girardeau gas using cold atomic gases. Here we prove that one-dimensional
fermionic and bosonic systems with strong short-range interactions are solvable
in arbitrary confining geometries by introducing a new energy-functional
technique and obtaining the full spectrum of energies and eigenstates. As a
first application, we calculate spatial correlations and show how both ferro-
and anti-ferromagnetic states are present already for small system sizes that
are prepared and studied in current experiments. Our work demonstrates the
enormous potential for quantum manipulation of magnetic correlations at the
microscopic scale.
","[{'version': 'v1', 'created': 'Wed, 19 Jun 2013 16:47:20 GMT'}, {'version': 'v2', 'created': 'Thu, 27 Mar 2014 17:21:49 GMT'}, {'version': 'v3', 'created': 'Sun, 24 May 2015 13:29:13 GMT'}]",2015-05-26,"[['Volosniev', 'A. G.', ''], ['Fedorov', 'D. V.', ''], ['Jensen', 'A. S.', ''], ['Valiente', 'M.', ''], ['Zinner', 'N. T.', '']]"
1901.06963,Jaka Vodeb,"Jaka Vodeb, Viktor V. Kabanov, Yaroslav Gerasimenko, Igor Vaskivskyi,
  Jan Ravnik and Dragan Mihailovic","Theoretical Modeling of the Non-equilibrium Amorphous State in
  1T-TaS$_2$","We confirm that calculations are correct, therefore the paper stands
  as it is. J Supercond Nov Magn (2019)",,10.1007/s10948-019-5028-1,,cond-mat.str-el,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  1T-TaS$_2$ is known for it's remarkably complex phase diagram and it's unique
long-lived metastable hidden (H) state. Recently, a novel metastable state has
been discovered using higher fluences for photoexcitation than in the case of
the H state. The state has been dubbed as amorphous (A) due to it's similarity
to glass. Expanding on the work of Brazovskii and Karpov, we show that the A
state can be successfully modelled with classical interacting polarons on a
two-dimensional hexagonal lattice. We have found that the polaron configuration
of the A state corresponds to a frustrated screened Coulomb system, where there
is no order-disorder phase transition.
","[{'version': 'v1', 'created': 'Mon, 21 Jan 2019 15:31:43 GMT'}, {'version': 'v2', 'created': 'Tue, 29 Jan 2019 12:38:20 GMT'}, {'version': 'v3', 'created': 'Wed, 30 Jan 2019 08:05:59 GMT'}, {'version': 'v4', 'created': 'Tue, 16 Jul 2019 10:50:00 GMT'}]",2019-07-17,"[['Vodeb', 'Jaka', ''], ['Kabanov', 'Viktor V.', ''], ['Gerasimenko', 'Yaroslav', ''], ['Vaskivskyi', 'Igor', ''], ['Ravnik', 'Jan', ''], ['Mihailovic', 'Dragan', '']]"
quant-ph/0310108,D. P. Caetano,D. P. Caetano and P. H. Souto Ribeiro,Image formation by manipulation of the entangled angular spectrum,Submitted for publication in Optics Communications,,10.1016/j.optcom.2004.05.026,,quant-ph,,"  We demonstrate theoretical and experimentally how it is possible to
manipulate an entangled angular spectrum of twin beams, in order to reconstruct
correlated images with coincidence detection. The entangled angular spectrum
comes from the pump and the image is obtained only if signal and idler are
properly treated.
","[{'version': 'v1', 'created': 'Thu, 16 Oct 2003 19:55:54 GMT'}, {'version': 'v2', 'created': 'Thu, 16 Oct 2003 20:57:03 GMT'}]",2009-11-10,"[['Caetano', 'D. P.', ''], ['Ribeiro', 'P. H. Souto', '']]"
1909.12965,F\'elix Therrien,"F\'elix Therrien, Peter Graf, Vladan Stevanovi\'c",Matching Crystal Structures Atom-to-Atom,"16 pages, 7 figures","The journal of Chemical Physics 152, 7, pp. 074106 (2020)",10.1063/1.5131527,,cond-mat.mtrl-sci physics.comp-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Finding an optimal match between two different crystal structures underpins
many important materials science problems, including describing solid-solid
phase transitions, developing models for interface and grain boundary
structures. In this work, we formulate the matching of crystals as an
optimization problem where the goal is to find the alignment and the
atom-to-atom map that minimize a given cost function such as the Euclidean
distance between the atoms. We construct an algorithm that directly solves this
problem for large finite portions of the crystals and retrieves the periodicity
of the match subsequently. We demonstrate its capacity to describe
transformation pathways between known polymorphs and to reproduce
experimentally realized structures of semi-coherent interfaces. Additionally,
from our findings we define a rigorous metric for measuring distances between
crystal structures that can be used to properly quantify their geometric
(Euclidean) closeness.
","[{'version': 'v1', 'created': 'Fri, 27 Sep 2019 21:46:00 GMT'}, {'version': 'v2', 'created': 'Thu, 20 Feb 2020 18:01:46 GMT'}]",2020-02-21,"[['Therrien', 'Félix', ''], ['Graf', 'Peter', ''], ['Stevanović', 'Vladan', '']]"
